algorithm_id	artifact_id	artifact_revision	artifact_sha256	backend	canonical_v1_model_id	capabilities	class_name	default_params	environment	evidence_class	evidence_revision	execution_kind	execution_path	execution_surface	family	implementation_id	library	license	model_id	notes	package	priority	provider_script	repo_id	revision	routability	runtime_certified	runtime_status	source_alias	source_kind	source_revision	source_version	surface	task	variant_id
						"[""position"", ""exogenous"", ""probability""]"	TFT	{}							transformer		neuralforecast		nf-tft		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	VanillaTransformer	{}							transformer		neuralforecast		nf-vanillatransformer		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	Informer	{}							transformer		neuralforecast		nf-informer		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	Autoformer	{}							transformer		neuralforecast		nf-autoformer	FFT kernel: forces 32-true precision	neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	PatchTST	{}							transformer		neuralforecast		nf-patchtst		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	FEDformer	{}							transformer		neuralforecast		nf-fedformer	FFT kernel: forces 32-true precision	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""multivariate""]"	StemGNN	{}							graph		neuralforecast		nf-stemgnn		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""probability""]"	HINT	{}							hierarchical		neuralforecast		nf-hint		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	TimesNet	{}							transformer		neuralforecast		nf-timesnet	FFT kernel: forces 32-true precision	neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	TimeLLM	{}							transformer		neuralforecast		nf-timellm		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""multivariate""]"	TSMixer	{}							mixer		neuralforecast		nf-tsmixer		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""exogenous"", ""multivariate""]"	TSMixerx	{}							mixer		neuralforecast		nf-tsmixerx		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""multivariate""]"	MLPMultivariate	{}							mlp		neuralforecast		nf-mlpmultivariate		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""multivariate""]"	iTransformer	{}							transformer		neuralforecast		nf-itransformer		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""exogenous""]"	BiTCN	{}							cnn		neuralforecast		nf-bitcn		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""exogenous""]"	TiDE	{}							mlp		neuralforecast		nf-tide		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""probability""]"	DeepNPTS	{}							deep_probabilistic		neuralforecast		nf-deepnpts		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""multivariate""]"	SOFTS	{}							mixer		neuralforecast		nf-softs		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""multivariate""]"	SOFTSSharp	{}							mixer		neuralforecast		nf-softssharp		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""multivariate""]"	TimeMixer	{}							mixer		neuralforecast		nf-timemixer	FFT kernel: forces 32-true precision	neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	KAN	{}							kan		neuralforecast		nf-kan		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""multivariate""]"	RMoK	{}							kan		neuralforecast		nf-rmok		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""exogenous""]"	TimeXer	{}							transformer		neuralforecast		nf-timexer		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	xLSTM	{}							rnn		neuralforecast		nf-xlstm		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	XLinear	{}							linear		neuralforecast		nf-xlinear		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoRNN	{}							rnn		neuralforecast_auto		nfauto-rnn	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoLSTM	{}							rnn		neuralforecast_auto		nfauto-lstm	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoGRU	{}							rnn		neuralforecast_auto		nfauto-gru	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoTCN	{}							cnn		neuralforecast_auto		nfauto-tcn	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoDeepAR	{}							deep_probabilistic		neuralforecast_auto		nfauto-deepar	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoDilatedRNN	{}							rnn		neuralforecast_auto		nfauto-dilatedrnn	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoBiTCN	{}							cnn		neuralforecast_auto		nfauto-bitcn	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoxLSTM	{}							rnn		neuralforecast_auto		nfauto-xlstm	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoMLP	{}							mlp		neuralforecast_auto		nfauto-mlp	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoNBEATS	{}							mlp		neuralforecast_auto		nfauto-nbeats	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoNBEATSx	{}							mlp		neuralforecast_auto		nfauto-nbeatsx	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoNHITS	{}							mlp		neuralforecast_auto		nfauto-nhits	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoDLinear	{}							linear		neuralforecast_auto		nfauto-dlinear	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoNLinear	{}							linear		neuralforecast_auto		nfauto-nlinear	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoTiDE	{}							mlp		neuralforecast_auto		nfauto-tide	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoDeepNPTS	{}							deep_probabilistic		neuralforecast_auto		nfauto-deepnpts	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoKAN	{}							kan		neuralforecast_auto		nfauto-kan	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoTFT	{}							transformer		neuralforecast_auto		nfauto-tft	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoVanillaTransformer	{}							transformer		neuralforecast_auto		nfauto-vanillatransformer	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoInformer	{}							transformer		neuralforecast_auto		nfauto-informer	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoAutoformer	{}							transformer		neuralforecast_auto		nfauto-autoformer	official AutoModel; backend/search resolved at runtime; FFT kernel forces 32-true precision	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoFEDformer	{}							transformer		neuralforecast_auto		nfauto-fedformer	official AutoModel; backend/search resolved at runtime; FFT kernel forces 32-true precision	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoPatchTST	{}							transformer		neuralforecast_auto		nfauto-patchtst	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo"", ""multivariate""]"	AutoiTransformer	{}							transformer		neuralforecast_auto		nfauto-itransformer	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoTimeXer	{}							transformer		neuralforecast_auto		nfauto-timexer	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoTimesNet	{}							transformer		neuralforecast_auto		nfauto-timesnet	official AutoModel; backend/search resolved at runtime; FFT kernel forces 32-true precision	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo"", ""multivariate""]"	AutoStemGNN	{}							graph		neuralforecast_auto		nfauto-stemgnn	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoHINT	{}							hierarchical		neuralforecast_auto		nfauto-hint	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo"", ""multivariate""]"	AutoTSMixer	{}							mixer		neuralforecast_auto		nfauto-tsmixer	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo"", ""multivariate""]"	AutoTSMixerx	{}							mixer		neuralforecast_auto		nfauto-tsmixerx	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo"", ""multivariate""]"	AutoMLPMultivariate	{}							mlp		neuralforecast_auto		nfauto-mlpmultivariate	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo"", ""multivariate""]"	AutoSOFTS	{}							mixer		neuralforecast_auto		nfauto-softs	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo"", ""multivariate""]"	AutoSOFTSSharp	{}							mixer		neuralforecast_auto		nfauto-softssharp	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo"", ""multivariate""]"	AutoTimeMixer	{}							mixer		neuralforecast_auto		nfauto-timemixer	official AutoModel; backend/search resolved at runtime; FFT kernel forces 32-true precision	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo"", ""multivariate""]"	AutoRMoK	{}							kan		neuralforecast_auto		nfauto-rmok	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""hpo""]"	AutoXLinear	{}							linear		neuralforecast_auto		nfauto-xlinear	official AutoModel; backend/search resolved at runtime	neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""exogenous"", ""hpo""]"	AutoLightGBM	{}							lag_ml		mlforecast_auto		mfauto-lightgbm	AutoMLForecast wrapper with upstream default search space	mlforecast	p1											broad_v1	position_series	
						"[""position"", ""exogenous"", ""hpo""]"	AutoXGBoost	{}							lag_ml		mlforecast_auto		mfauto-xgboost	AutoMLForecast wrapper with upstream default search space	mlforecast	p1											broad_v1	position_series	
						"[""position"", ""exogenous"", ""hpo""]"	AutoCatboost	{}							lag_ml		mlforecast_auto		mfauto-catboost	AutoMLForecast wrapper with upstream default search space	mlforecast	p1											broad_v1	position_series	
						"[""position"", ""exogenous"", ""hpo""]"	AutoLinearRegression	{}							lag_ml		mlforecast_auto		mfauto-linearregression	AutoMLForecast wrapper with upstream default search space	mlforecast	p1											broad_v1	position_series	
						"[""position"", ""exogenous"", ""hpo""]"	AutoRidge	{}							lag_ml		mlforecast_auto		mfauto-ridge	AutoMLForecast wrapper with upstream default search space	mlforecast	p1											broad_v1	position_series	
						"[""position"", ""exogenous"", ""hpo""]"	AutoLasso	{}							lag_ml		mlforecast_auto		mfauto-lasso	AutoMLForecast wrapper with upstream default search space	mlforecast	p1											broad_v1	position_series	
						"[""position"", ""exogenous"", ""hpo""]"	AutoElasticNet	{}							lag_ml		mlforecast_auto		mfauto-elasticnet	AutoMLForecast wrapper with upstream default search space	mlforecast	p1											broad_v1	position_series	
						"[""position"", ""exogenous"", ""hpo""]"	AutoRandomForest	{}							lag_ml		mlforecast_auto		mfauto-randomforest	AutoMLForecast wrapper with upstream default search space	mlforecast	p1											broad_v1	position_series	
						"[""reconciliation"", ""coherence""]"	BottomUp	{}							reconciliation		hierarchicalforecast		hf-bottomup	enforces coherence across the number/decade/parity hierarchy	hierarchicalforecast	p1											broad_v1	reconciliation	
						"[""reconciliation"", ""coherence""]"	BottomUpSparse	{}							reconciliation		hierarchicalforecast		hf-bottomupsparse	enforces coherence across the number/decade/parity hierarchy	hierarchicalforecast	p1											broad_v1	reconciliation	
						"[""reconciliation"", ""coherence""]"	TopDown	{}							reconciliation		hierarchicalforecast		hf-topdown	enforces coherence across the number/decade/parity hierarchy	hierarchicalforecast	p1											broad_v1	reconciliation	
						"[""reconciliation"", ""coherence""]"	TopDownSparse	{}							reconciliation		hierarchicalforecast		hf-topdownsparse	enforces coherence across the number/decade/parity hierarchy	hierarchicalforecast	p1											broad_v1	reconciliation	
						"[""reconciliation"", ""coherence""]"	MiddleOut	{}							reconciliation		hierarchicalforecast		hf-middleout	enforces coherence across the number/decade/parity hierarchy	hierarchicalforecast	p1											broad_v1	reconciliation	
						"[""reconciliation"", ""coherence""]"	MiddleOutSparse	{}							reconciliation		hierarchicalforecast		hf-middleoutsparse	enforces coherence across the number/decade/parity hierarchy	hierarchicalforecast	p1											broad_v1	reconciliation	
						"[""reconciliation"", ""coherence""]"	MinTrace	{}							reconciliation		hierarchicalforecast		hf-mintrace	enforces coherence across the number/decade/parity hierarchy	hierarchicalforecast	p1											broad_v1	reconciliation	
						"[""reconciliation"", ""coherence""]"	MinTraceSparse	{}							reconciliation		hierarchicalforecast		hf-mintracesparse	enforces coherence across the number/decade/parity hierarchy	hierarchicalforecast	p1											broad_v1	reconciliation	
						"[""reconciliation"", ""coherence""]"	OptimalCombination	{}							reconciliation		hierarchicalforecast		hf-optimalcombination	enforces coherence across the number/decade/parity hierarchy	hierarchicalforecast	p1											broad_v1	reconciliation	
						"[""reconciliation"", ""coherence""]"	ERM	{}							reconciliation		hierarchicalforecast		hf-erm	enforces coherence across the number/decade/parity hierarchy	hierarchicalforecast	p1											broad_v1	reconciliation	
						"[""zero_shot"", ""position"", ""probability""]"	Chronos2Pipeline	"{""repo_id"": ""amazon/chronos-2""}"							tsfm		tsfm		chronos-2	highest-download TSFM; zero-shot, covariate-capable	chronos	p0		amazon/chronos-2									broad_v1	foundation	
						"[""zero_shot"", ""position"", ""probability""]"	ChronosBoltPipeline	"{""repo_id"": ""amazon/chronos-bolt-tiny""}"							tsfm		tsfm		chronos-bolt-tiny	fastest Chronos variant; CPU-viable	chronos	p0		amazon/chronos-bolt-tiny									broad_v1	foundation	
						"[""zero_shot"", ""position"", ""probability""]"	ChronosPipeline	"{""repo_id"": ""amazon/chronos-t5-small""}"							tsfm		tsfm		chronos-t5-small	T5 tokenised Chronos	chronos	p1		amazon/chronos-t5-small									broad_v1	foundation	
						"[""zero_shot"", ""position"", ""probability""]"	ChronosPipeline	"{""repo_id"": ""amazon/chronos-t5-base""}"							tsfm		tsfm		chronos-t5-base		chronos	p1		amazon/chronos-t5-base									broad_v1	foundation	
						"[""zero_shot"", ""position""]"	TimesFmModelForPrediction	"{""repo_id"": ""google/timesfm-2.5-200m-transformers""}"							tsfm		tsfm		timesfm-2.5-transformers	transformers-native; preferred over the -pytorch checkpoint (no trust_remote_code)	transformers	p0		google/timesfm-2.5-200m-transformers									broad_v1	foundation	
						"[""zero_shot"", ""position""]"	TinyTimeMixerForPrediction	"{""repo_id"": ""ibm-granite/granite-timeseries-ttm-r2""}"							tsfm		tsfm	Apache-2.0	granite-ttm-r2	Apache-licensed replacement for ibm-research/ttm-r3 (non-commercial)	transformers	p0		ibm-granite/granite-timeseries-ttm-r2									broad_v1	foundation	
						"[""zero_shot"", ""position""]"	FlowStateForPrediction	"{""repo_id"": ""ibm-granite/granite-timeseries-flowstate-r1""}"							tsfm		tsfm		granite-flowstate-r1	9M params; smallest credible zero-shot forecaster	transformers	p1		ibm-granite/granite-timeseries-flowstate-r1									broad_v1	foundation	
						"[""zero_shot"", ""position""]"	PatchTSTForPrediction	"{""repo_id"": ""ibm-granite/granite-timeseries-patchtst""}"							tsfm		tsfm		granite-patchtst		transformers	p1		ibm-granite/granite-timeseries-patchtst									broad_v1	foundation	
						"[""zero_shot"", ""position""]"	PatchTSMixerForPrediction	"{""repo_id"": ""ibm-granite/granite-timeseries-patchtsmixer""}"							tsfm		tsfm		granite-patchtsmixer		transformers	p1		ibm-granite/granite-timeseries-patchtsmixer									broad_v1	foundation	
						"[""zero_shot"", ""position"", ""probability""]"	MoiraiForecast	"{""repo_id"": ""Salesforce/moirai-2.0-R-small""}"							tsfm		tsfm		moirai-2.0-small		uni2ts	p0		Salesforce/moirai-2.0-R-small									broad_v1	foundation	
						"[""zero_shot"", ""position"", ""probability""]"	MoiraiForecast	"{""repo_id"": ""Salesforce/moirai-1.0-R-base""}"							tsfm		tsfm		moirai-1.0-base		uni2ts	p1		Salesforce/moirai-1.0-R-base									broad_v1	foundation	
						"[""zero_shot"", ""position""]"	TiRex	"{""repo_id"": ""NX-AI/TiRex-2""}"							tsfm		tsfm		tirex-2	xLSTM-based; successor to TiRex	tirex	p1		NX-AI/TiRex-2									broad_v1	foundation	
						"[""zero_shot"", ""position"", ""probability""]"	TotoForecaster	"{""repo_id"": ""Datadog/Toto-Open-Base-1.0""}"							tsfm		tsfm		toto-open-base	observability-domain pretraining	toto	p1		Datadog/Toto-Open-Base-1.0									broad_v1	foundation	
						"[""zero_shot"", ""position"", ""probability""]"	TotoForecaster	"{""repo_id"": ""Datadog/Toto-2.0-4m""}"							tsfm		tsfm		toto-2.0-4m		toto	p1		Datadog/Toto-2.0-4m									broad_v1	foundation	
						"[""zero_shot"", ""position""]"	MOMENTPipeline	"{""repo_id"": ""AutonLab/MOMENT-1-small""}"							tsfm		tsfm		moment-1-small	general TS embedding model; forecasting head required	momentfm	p1		AutonLab/MOMENT-1-small									broad_v1	foundation	
						"[""zero_shot"", ""position""]"	MOMENTPipeline	"{""repo_id"": ""AutonLab/MOMENT-1-large""}"							tsfm		tsfm		moment-1-large		momentfm	p1		AutonLab/MOMENT-1-large									broad_v1	foundation	
						"[""zero_shot"", ""position"", ""probability""]"	LagLlamaEstimator	"{""repo_id"": ""time-series-foundation-models/Lag-Llama""}"							tsfm		tsfm		lag-llama		lag_llama	p1		time-series-foundation-models/Lag-Llama									broad_v1	foundation	
						"[""zero_shot"", ""position""]"	KronosPredictor	"{""repo_id"": ""NeoQuasar/Kronos-base""}"							tsfm		tsfm		kronos-base	discrete-token financial series model	kronos	p1		NeoQuasar/Kronos-base									broad_v1	foundation	
						"[""zero_shot"", ""position"", ""probability""]"	SundialForPrediction	"{""repo_id"": ""thuml/sundial-base-128m""}"							tsfm		tsfm		sundial-base		transformers	p1		thuml/sundial-base-128m									broad_v1	foundation	
						"[""zero_shot"", ""position""]"	TabPFNTimeSeries	"{""repo_id"": ""Prior-Labs/TabPFN-v2-clf""}"							foundation_tabular		tsfm		tabpfn-ts	tabular foundation model applied to the candidate matrix	tabpfn_time_series	p1		Prior-Labs/TabPFN-v2-clf									broad_v1	candidate	
						"[""zero_shot"", ""position""]"	T0Pipeline	"{""repo_id"": ""theforecastingcompany/t0-alpha""}"							tsfm		tsfm		t0-alpha	GATED: weights resolve to zero bytes without accepted terms; kept as a known-blocked entry so the availability probe reports it explicitly	tfc	p2		theforecastingcompany/t0-alpha									broad_v1	foundation	
						"[""position"", ""probability"", ""automl"", ""protocol_v2""]"	TimeSeriesPredictor	{}							automl		autogluon		autogluon-timeseries	stable provider; runtime states use autogluon_runtime_catalog	autogluon	p1											broad_v1	position_series	
						"[""position"", ""ensemble""]"	RegressionEnsembleModel	{}							framework		darts		darts-ensemble		darts	p1											broad_v1	position_series	
						"[""position"", ""probability""]"	DeepAREstimator	{}							deep_probabilistic		gluonts		gluonts-deepar		gluonts	p1											broad_v1	position_series	
						"[""position""]"	ESN	{}							reservoir		reservoirpy		reservoir-esn		reservoirpy	p1											broad_v1	position	
						"[""position"", ""ensemble""]"	EnsembleForecaster	{}							framework		sktime		sktime-ensemble		sktime	p1											broad_v1	position_series	
						"[""position"", ""exogenous""]"	ForecasterRecursive	{}							lag_ml		skforecast		skforecast-recursive		skforecast	p1											broad_v1	position_series	
																			chronos-2					amazon/chronos-2	29ec3766d36d6f73f0696f85560a422f50e8498c								verified_revision		
																			chronos-bolt-tiny					amazon/chronos-bolt-tiny	a0e552de83495b5c28c14c71c374f3e33280b340								verified_revision		
																			chronos-t5-base					amazon/chronos-t5-base	ad294eaacead15db499b740ea4122266dd2a81a2								verified_revision		
																			chronos-t5-small					amazon/chronos-t5-small	a971ba21945c4f1796b17a91fe69214b5f4ad472								verified_revision		
																			granite-flowstate-r1					ibm-granite/granite-timeseries-flowstate-r1	05effc6cb39ee16dce9dd0064ed1a76e4b8ff464								verified_revision		
																			granite-patchtsmixer					ibm-granite/granite-timeseries-patchtsmixer	90dc5a88d45f032b7dceefb5d814ca2af54f2ff9								verified_revision		
																			granite-patchtst					ibm-granite/granite-timeseries-patchtst	7fe295d8bc8fbac8041b60ab351882634165517f								verified_revision		
																			granite-ttm-r2					ibm-granite/granite-timeseries-ttm-r2	d6a79570cac0f33d526601cd3a0fc7c80a8f9a2f								verified_revision		
																			kronos-base					NeoQuasar/Kronos-base	2b554741eca47781b64468546e77fef3e85130e6								verified_revision		
																			lag-llama					time-series-foundation-models/Lag-Llama	72dcfc29da106acfe38250a60f4ae29d1e56a3d9								verified_revision		
																			moirai-1.0-base					Salesforce/moirai-1.0-R-base	4fa939a8800d9da346c0280f3d9aeba0d2d35877								verified_revision		
																			moirai-2.0-small					Salesforce/moirai-2.0-R-small	30f43ff08c8494f4943ae1521e9d4e94a0fbb389								verified_revision		
																			moment-1-large					AutonLab/MOMENT-1-large	ca58581bc7bea2ebed4e80dc0a3e4b8b609c6ecc								verified_revision		
																			moment-1-small					AutonLab/MOMENT-1-small	411e288267f82cce86296dbe4d6c8bc533cc162f								verified_revision		
																			sundial-base					thuml/sundial-base-128m	3212e42564493f520593e5414af4367fc4b49226								verified_revision		
																			t0-alpha					theforecastingcompany/t0-alpha	f8727c2357e0d81f1d9f56fe3aaac43068b5fc72								verified_revision		
																			tabpfn-ts					Prior-Labs/TabPFN-v2-reg	4972a65a1b30806315c6f92499959ffbfc69a673								verified_revision		
																			timesfm-2.5-transformers					google/timesfm-2.5-200m-transformers	5a9806b9b291fad9233b5249d88263f1846304d3								verified_revision		
																			tirex-2					NX-AI/TiRex-2	05e5b26db52bfb256f1ae1bdf785589850482de3								verified_revision		
																			toto-2.0-4m					Datadog/Toto-2.0-4m	8306a9801cf98c0f5ffe4b2dcc8f496e616d84d9								verified_revision		
																			toto-open-base					Datadog/Toto-Open-Base-1.0	0411ceb27bdf7fc3e4892e99edc8ad08192dc3c5								verified_revision		
				pytorch_native					environments/timesfm25-pytorch										timesfm-2.5-200m					google/timesfm-2.5-200m-pytorch	1d952420fba87f3c6dee4f240de0f1a0fbc790e3			IMPLEMENTED_NOT_GPU_CERTIFIED					timesfm_backend		
				pytorch_source					environments/timesfm25-pytorch-source										timesfm-2.5-200m					google/timesfm-2.5-200m-pytorch	1d952420fba87f3c6dee4f240de0f1a0fbc790e3			SCHEMA_ONLY					timesfm_backend		
				transformers					environments/timesfm25-transformers										timesfm-2.5-200m					google/timesfm-2.5-200m-transformers	5a9806b9b291fad9233b5249d88263f1846304d3			SCHEMA_ONLY_GITHUB_EVIDENCE_BLOCKED					timesfm_backend		
				xreg					environments/timesfm25-xreg										timesfm-2.5-200m					google/timesfm-2.5-200m-pytorch	1d952420fba87f3c6dee4f240de0f1a0fbc790e3			DEFERRED					timesfm_backend		
							Toto2Model											Apache-2.0	toto-2.0-4m					Datadog/Toto-2.0-4m	8306a9801cf98c0f5ffe4b2dcc8f496e616d84d9			NOT_CERTIFIED					toto2_variant		toto-2.0-4m
							Toto2Model											Apache-2.0	toto-2.0-22m					Datadog/Toto-2.0-22m	3affccf372ff82f5d200ac76fad3dbcdeb64299a			NOT_CERTIFIED					toto2_variant		toto-2.0-22m
																			moirai-2.0-r-small					Salesforce/moirai-2.0-R-small	30f43ff08c8494f4943ae1521e9d4e94a0fbb389								manifest_constants		
																			timer-base-84m					thuml/timer-base-84m	70077a71acce1b4c00d98332fcaabc694255d8e5								manifest_constants		
uniformcandidateadapter					uniform	"[""probability"", ""ranking"", ""control""]"	UniformCandidateAdapter			SOURCE_DECLARED				broad_v1	theory	uniform	builtin		uniform	exact theoretical uniform; mandatory control						UNKNOWN	False	NOT_RUN		broad_v1			expanded_v2		
frequencycandidateadapter					frequency	"[""probability"", ""ranking""]"	FrequencyCandidateAdapter			SOURCE_DECLARED				broad_v1	frequency	frequency	builtin		frequency							UNKNOWN	False	NOT_RUN		broad_v1			expanded_v2		
theorymedianadapter					position-median	"[""position"", ""control""]"	TheoryMedianAdapter			SOURCE_DECLARED				broad_v1	theory	position-median	builtin		position-median	exact MAE-floor predictor; mandatory control						UNKNOWN	False	NOT_RUN		broad_v1			expanded_v2		
theorymodaladapter					position-modal	"[""position"", ""control""]"	TheoryModalAdapter			SOURCE_DECLARED				broad_v1	theory	position-modal	builtin		position-modal	exact within-tau ceiling predictor; mandatory control						UNKNOWN	False	NOT_RUN		broad_v1			expanded_v2		
logisticregression					logistic	"[""probability"", ""exogenous""]"	LogisticRegression			SOURCE_DECLARED				broad_v1	linear	logistic	sklearn		logistic							UNKNOWN	False	NOT_RUN		broad_v1			expanded_v2		
ridge					ridge	"[""position"", ""exogenous""]"	Ridge			SOURCE_DECLARED				broad_v1	linear	ridge	sklearn		ridge							UNKNOWN	False	NOT_RUN		broad_v1			expanded_v2		
elasticnet					elastic-net	"[""position"", ""exogenous""]"	ElasticNet			SOURCE_DECLARED				broad_v1	linear	elastic-net	sklearn		elastic-net							UNKNOWN	False	NOT_RUN		broad_v1			expanded_v2		
randomforestclassifier					random-forest	"[""probability"", ""exogenous""]"	RandomForestClassifier			SOURCE_DECLARED				broad_v1	tree	random-forest	sklearn		random-forest							UNKNOWN	False	NOT_RUN		broad_v1			expanded_v2		
extratreesclassifier					extra-trees	"[""probability"", ""exogenous""]"	ExtraTreesClassifier			SOURCE_DECLARED				broad_v1	tree	extra-trees	sklearn		extra-trees							UNKNOWN	False	NOT_RUN		broad_v1			expanded_v2		
histgradientboostingclassifier					hist-gradient-boosting	"[""probability"", ""exogenous""]"	HistGradientBoostingClassifier			SOURCE_DECLARED				broad_v1	tree	hist-gradient-boosting	sklearn		hist-gradient-boosting							UNKNOWN	False	NOT_RUN		broad_v1			expanded_v2		
calibratedclassifiercv					isotonic-calibrated-logistic	"[""probability"", ""calibration""]"	CalibratedClassifierCV			SOURCE_DECLARED				broad_v1	calibrated	isotonic-calibrated-logistic	sklearn		isotonic-calibrated-logistic	wraps logistic; makes the calibration layer measurable						UNKNOWN	False	NOT_RUN		broad_v1			expanded_v2		
lgbmclassifier					lightgbm-classifier	"[""probability"", ""exogenous""]"	LGBMClassifier			SOURCE_DECLARED				broad_v1	tree	lightgbm-classifier	lightgbm		lightgbm-classifier							UNKNOWN	False	NOT_RUN		broad_v1			expanded_v2		
lgbmregressor					lightgbm-position	"[""position"", ""exogenous""]"	LGBMRegressor			SOURCE_DECLARED				broad_v1	tree	lightgbm-position	lightgbm		lightgbm-position							UNKNOWN	False	NOT_RUN		broad_v1			expanded_v2		
xgbclassifier					xgboost-classifier	"[""probability"", ""exogenous""]"	XGBClassifier			SOURCE_DECLARED				broad_v1	tree	xgboost-classifier	xgboost		xgboost-classifier							UNKNOWN	False	NOT_RUN		broad_v1			expanded_v2		
